,Depth,X16SBac,X16SBac_SD,X16SArc,X16SArc_SD,amoAArc,amoAArc_SD,hzo,hzo_SD
GS19_GC10_127,127,95778.3438942649,527.477399869399,39461.4479758523,4958.514733748,,,1.03E+05,3.71E+04
GS19_GC10_128,128,70470.1098766956,15181.763617547,29062.4870048775,5020.54822313916,,,7.52E+04,1.31E+04
GS19_GC10_129,129,178054.874126727,14423.8989169781,51554.5639624963,6097.97275983371,,,1.85E+05,3.50E+04
GS19_GC10_130,130,101030.864789792,10347.7377835879,39499.9864036471,1689.3401220151,,,4.12E+04,2.59E+03
GS19_GC10_131,131,68010.0608774708,9024.87196210764,33569.4922636239,4710.51434897101,,,9.27E+04,3.53E+04
GS19_GC10_132,132,59103.7052933888,4480.72443726242,26015.3493573589,5046.98958448184,,,4.36E+04,6.05E+03
GS19_GC10_133,133,89189.5408401946,116.404855322695,24336.818306746,2322.71362921436,,,3.03E+05,7.40E+04
GS19_GC10_134,134,32795.1569747032,1536.49361407171,15830.1364621736,4003.32053316281,,,3.03E+05,7.28E+04
GS19_GC10_135,135,52373.1305332257,8452.15716417231,13858.8702816761,1496.39757443579,,,1.28E+05,7.97E+03
GS19_GC10_136,136,6645.73454264246,97.9241432468933,529.999783116591,51.0361423114061,,,,
GS19_GC10_137,137,10010.6966316828,1414.67905146662,918.449324254561,137.680717913446,,,,
GS19_GC10_138,138,25649.1800633872,1896.60089771922,7142.48273430802,1655.30399578373,,,6.45E+04,9.29E+03
GS19_GC10_139,139,8413.00914920946,1126.79048439339,593.614217787016,191.212324807762,,,5.01E+03,1.69E+03
GS19_GC10_140,140,466850.32029226,42453.7065733282,192181.997348608,10158.8955814974,5.05E+04,1.11E+04,5.05E+04,1.05E+04
GS19_GC10_141,141,67880.4051806355,24.3491465933839,33558.0636186209,4514.69951205784,2.71E+02,3.63E+01,3.31E+05,7.01E+04
GS19_GC10_142,142,6955.1513671875,498.258447647094,517.289829254151,66.4339855313301,,,,
GS19_GC10_143,143,48891.0055440465,1622.52810603252,33375.298486997,5187.30335272921,,,,
GS19_GC10_144,144,62399.8615103709,3811.07368699501,31522.7140123456,7166.20048047071,,,,
GS19_GC10_145,145,104396.813657103,1540.23035233762,29795.3685792555,4108.73909958271,,,,
GS19_GC10_146,146,75632.2420560396,4078.09854297281,25479.3805540723,4352.95451951373,,,,
GS19_GC10_147,147,97179.7335464343,11952.1537713245,39320.967682695,3566.63096267565,,,,
GS19_GC10_148,148,47932.5560439332,16691.5697060512,25474.8756042806,5194.94739349528,,,,
GS19_GC10_149,149,72905.6605586299,6410.89663093472,30919.1480095003,2159.19120812122,,,,
GS19_GC10_150,150,38061.0721334986,5460.83744930731,17461.0770812569,2239.75852643326,,,5.97E+04,2.07E+04
GS19_GC10_151,151,61095.6031857557,1333.83155779074,29779.4989957154,953.99841097475,,,5.68E+05,7.04E+04
GS19_GC10_152,152,85341.6724343902,12495.3638465659,32485.3700804479,4937.65784698783,,,1.32E+04,3.49E+03
GS19_GC10_153,153,21643.8971443911,4822.51669661136,2068.65866128076,54.1873802720096,,,,
GS19_GC10_154,154,84342.0960849389,9929.48130557412,21044.7705777964,202.754212725431,,,3.19E+04,5.53E+03
GS19_GC10_155,155,29727.0405365052,354.769711078543,18174.8113574169,1061.84777575139,,,,
GS19_GC10_156,156,15045.3109895029,2025.38794086826,4473.18025173679,419.245960731661,,,1.39E+05,1.97E+04
GS19_GC10_157,157,49348.6001457967,5303.08031700026,25036.9750278096,5930.18229578583,,,2.92E+04,8.81E+02
GS19_GC10_158,158,75682.6710056615,1024.30984780595,37671.8598443108,4462.07523345948,,,3.73E+04,1.13E+03
GS19_GC10_159,159,80091.3639557667,19828.0982482128,25717.47364142,4454.27741759862,,,,
GS19_GC10_160,160,40271.5965701045,1806.4955828832,36763.0673848513,2855.83428400793,,,,
GS19_GC10_161,161,39378.5038400204,4033.23366286907,22696.3830501476,1627.37709410647,4.73E+02,2.72E+02,,
GS19_GC10_162,162,61501.6102279204,194.417579747065,31291.5065257846,4427.0572744214,,,,
GS19_GC10_163,163,46146.225143265,2186.768919557,29206.2382121662,5436.00962712214,,,,
GS19_GC10_164,164,38944.3251190993,4717.95500901642,20504.887898763,1753.56965847116,,,,
GS19_GC10_165,165,7923.50095068187,817.720607818226,2344.62448227953,139.793922117657,,,,
GS19_GC10_166,166,6080.33348532284,1026.19206204134,NA,NA,,,,
GS19_GC10_167,167,28463.7553901604,1972.7265599386,19579.8754050018,3274.05501524892,,,,
GS19_GC10_168,168,52740.3608351895,6705.24560806036,24514.855131946,4920.47899930482,1.34E+03,1.34E+03,,
GS19_GC10_169,169,68834.6563855874,12381.5023107057,21098.2028629752,4165.66111160097,,,,
GS19_GC10_170,170,132936.808877362,31079.2249119924,48382.7510993638,2750.36731879868,3.65E+03,9.87E+02,,
GS19_GC10_171,171,59263.0707181977,4216.47196997116,45392.2687749104,5982.30326682495,,,,
GS19_GC10_172,172,46624.4000490471,7178.44321588764,26592.1229204255,4830.94950962494,,,,
GS19_GC10_173,173,6929.63437831149,637.08558995673,31145.239485071,3233.53909431619,,,,
