Sample,Extraction,Sequencing,Type,Depth,16SBac,16SBac_SD,16SArc,16SArc_SD,Proka16S,PoolingChoice
GS19_GC10_99_E1_S1,E1,S1,Sample,99,20877.1679282847,886.470375798684,2009.3799296005,742.397321521906,22886.5478578852,
GS19_GC10_100_E1_S1,E1,S1,Sample,100,18293.2402636554,2255.60810114887,,,18293.2402636554,
GS19_GC10_101_E1_S1,E1,S1,Sample,101,623452.232186362,97724.4260157468,205825.1838922,4699.99927988666,829277.416078562,
GS19_GC10_102_E1_S1,E1,S1,Sample,102,119915.531907126,11728.339507201,53733.6388703819,6581.83195880641,173649.170777508,
GS19_GC10_103_E1_S1,E1,S1,Sample,103,274969.072750106,19780.9100614911,118811.340925758,18197.9116298809,393780.413675864,
GS19_GC10_104_E1_S1,E1,S1,Sample,104,16585.6346143922,2624.74514027895,411.648892170582,82.9321638305488,16997.2835065628,
GS19_GC10_105_E1_S1,E1,S1,Sample,105,309861.575855929,4086.5379221299,115963.810709267,4032.43125294129,425825.386565196,
GS19_GC10_106_E1_S1,E1,S1,Sample,106,24856.1908764467,762.646215998993,3508.64553983327,969.421797082327,28364.83641628,
GS19_GC10_107_E1_S1,E1,S1,Sample,107,184743.245442708,4121.0086572738,96589.1883486793,15426.2576784406,281332.433791387,
GS19_GC10_108_E1_S1,E1,S1,Sample,108,22954.4183655423,592.938868138387,1726.01691865224,156.181372531023,24680.4352841945,
GS19_GC10_109_E1_S1,E1,S1,Sample,109,41290.5728753238,3873.09349794439,10380.6674161697,149.720939085445,51671.2402914935,
GS19_GC10_110_E1_S1,E1,S1,Sample,110,132334.552453636,35976.7218920944,41025.8573644302,2523.11578059332,173360.409818066,pool
GS19_GC10_110_E2_S1,E2,S1,Sample,110,755913.339010099,83884.5415813167,49475.4186490687,10270.8607185178,805388.757659168,pool
GS19_GC10_111_E1_S1,E1,S1,Sample,111,536962.937216722,9040.40227409538,153822.990592199,8576.03531757384,690785.927808921,
GS19_GC10_112_E1_S1,E1,S1,Sample,112,430921.836521314,40104.7209034795,161702.197530996,20486.4564149276,592624.03405231,
GS19_GC10_113_E1_S1,E1,S1,Sample,113,320120.297945463,15001.4096039993,130161.886948806,12560.7281464797,450282.184894269,
GS19_GC10_114_E1_S1,E1,S1,Sample,114,512335.328494801,41797.7781856761,217173.806358786,23419.5449773004,729509.134853587,
GS19_GC10_115_E1_S1,E1,S1,Sample,115,387347.557697821,69138.3403813073,214568.111874641,4306.38103310121,601915.669572462,
GS19_GC10_116_E1_S1,E1,S1,Sample,116,347422.544417842,34836.8441674018,181487.859910534,31784.0969947077,528910.404328376,
