Age,OTU_3_Median,OTU_3_LowerQuantile,OTU_3_UpperQuantile,OTU_16_Median,OTU_16_LowerQuantile,OTU_16_UpperQuantile,hzo_Median,hzo_LowerQuantile,hzo_UpperQuantile
34936,104.88375332957607,1.0,221.19714475736674,1.0,1.0,1.0,2538.8662732868843,2367.1579753177725,2653.338471932959
34986,1.0,1.0,141.00825334791216,1.0,1.0,1.0,2500.8419078844768,2370.636403597629,2631.047412171325
35036,97.82663753537298,1.0,208.65089450116182,1.0,1.0,1.0,2536.031965652516,2409.1320268525988,2662.9319044524336
35086,89.15975224376858,1.0,295.9834138534834,1.0,1.0,1.0,2456.914869077155,2338.790477195639,2693.1636528401873
35136,91.23527014227088,1.0,306.7548929609932,1.0,1.0,1.0,2522.3983691895246,2409.516540916822,2635.2801974622275
35186,106.71235620763746,1.0,359.52865500175693,1.0,1.0,1.0,2502.490329539857,2379.76335118979,2747.944286239992
35236,104.09478029902033,1.0,490.33379520299155,1.0,1.0,1.0,2574.635275255545,2338.2141479046786,2692.845838930978
35286,74.90801873844453,1.0,607.1238637466498,1.0,1.0,1.0,2527.4342232960944,2401.249430057282,2779.8038097737194
35336,77.85197980833229,77.85197980833229,673.305160112955,1.0,1.0,1.0,2561.477119383722,2431.364884011532,2691.5893547559112
35386,193.70717170885658,69.59170945891313,938.3999452085172,1.0,1.0,1.0,2533.197042330389,2405.903370609652,2787.7843857718635
35436,161.1580925289478,44.11413033254226,1331.5977144930032,1.0,1.0,1.0,2625.751093896115,2376.304961625481,2875.197226166749
35486,209.94728198038428,1.0,2035.1912362959195,1.0,1.0,1.0,2609.430088235203,2475.753951854021,9426.913043675479
35536,364.5423761917583,22.863202553783385,3667.441054692182,1.0,1.0,1.0,2664.2069145321443,2399.1994601981605,19359.676537573137
35586,579.9176165924806,62.52688288619634,5624.477270228752,1.0,1.0,1.0,2868.4701669036594,2361.4749019509127,30246.214474351986
35636,722.861538991376,144.31615222033298,7549.697102889685,1.0,1.0,1.0,3063.339314332886,2348.4450850226704,39951.88154673999
35686,1038.6581542187812,93.61816071505505,9334.009208307045,1.0,1.0,1.0,3423.268743060641,2338.681857854499,49626.670052842295
35736,1460.5602196721097,138.99752510293283,11041.889755298644,1.0,1.0,1.0,4598.089366037304,2604.447743127875,55435.95075022775
